PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,Canonical URL,Canonical URL code,Canonical URL patch,Canonical URL patch status,No. of canonical inlinks,Content hash,No. of pages having the same content,Title patch,Title patch status,Meta description,Meta description patch,Meta description patch status,H1
20,https://www.pandalime.com/scanner/product-manager,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/cloud-architect-at-wipro,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/software-engineer-at-microsoft,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/software-engineer-at-wipro,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/react-developer-at-infosys,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/ai-engineer-at-microsoft,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/ai-engineer-at-google,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/data-scientist-at-microsoft,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/python-developer-at-top%20startups,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/full-stack-developer-at-microsoft,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/full-stack-developer-at-tcs,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/cloud-architect-at-amazon,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/infosys-roles,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/data-scientist-at-wipro,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/marketing-manager,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/cloud-architect-at-infosys,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/data-scientist,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/react-developer-at-google,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/full-stack-developer-at-wipro,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/ai-engineer-at-tcs,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/react-developer-at-wipro,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/ai-engineer-at-amazon,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
20,https://www.pandalime.com/scanner/full-stack-developer-at-infosys,Scan Resume for Free,text/html; charset=utf-8,false,200,0,1,true,,,,,0,15505260897670444147,63,,,,,,
